date,county,prop_omicron_cases
2022-04-13,Calaveras,0.9957038301249285
2022-04-13,Colusa,0.9946643330247373
2022-04-13,Contra Costa,0.9957120258565824
2022-04-13,Del Norte,0.9953591464481847
2022-04-13,El Dorado,0.9953849627309659
2022-04-13,Fresno,0.9943148368252072
2022-04-13,Glenn,0.9954452417845363
2022-04-13,Humboldt,0.9955272750872425
2022-04-13,Imperial,0.9949847196856497
2022-04-13,Inyo,0.9964831282243116
2022-04-13,Kern,0.995453074201802
2022-04-13,Kings,0.9939529053633029
2022-04-13,Lake,0.9937711497587873
2022-04-13,Lassen,0.9963170868162121
2022-04-13,Los Angeles,0.9990705696672938
2022-04-13,Madera,0.9940022607894415
2022-04-13,Marin,0.9964566327287765
2022-04-13,Mariposa,0.993454465606607
2022-04-13,Mendocino,0.9908114447350935
2022-04-13,Merced,0.995028197952517
2022-04-13,Mono,0.9926856863542489
2022-04-13,Monterey,0.9957937646466059
2022-04-13,Napa,0.9955870085663854
2022-04-13,Nevada,0.9941958490020992
2022-04-13,Orange,0.9969543577994471
2022-04-13,Placer,0.9947108803628814
2022-04-13,Plumas,0.994641850327776
2022-04-13,Riverside,0.9951765327449885
2022-04-13,Sacramento,0.995947079498748
2022-04-13,San Benito,0.99681417934895
2022-04-13,San Bernardino,0.9972521750551165
